Date,VX1_Ticker,VX2_Ticker,VX1,VX2,Slope
2016-01-04,VXF6 Comdty,VXG6 Comdty,19.825,19.525,-0.015132408575031562
2016-01-05,VXF6 Comdty,VXG6 Comdty,19.425,19.275,-0.0077220077220078315
2016-01-06,VXF6 Comdty,VXG6 Comdty,20.325,19.825,-0.024600246002460024
2016-01-07,VXF6 Comdty,VXG6 Comdty,23.525,21.775,-0.07438894792773645
2016-01-08,VXF6 Comdty,VXG6 Comdty,25.275,23.075,-0.08704253214638968
2016-01-11,VXF6 Comdty,VXG6 Comdty,23.475,21.975,-0.06389776357827476
2016-01-12,VXF6 Comdty,VXG6 Comdty,22.075,21.075,-0.04530011325028313
2016-01-13,VXF6 Comdty,VXG6 Comdty,24.725,23.125,-0.06471183013144596
2016-01-14,VXF6 Comdty,VXG6 Comdty,23.575,22.275,-0.055143160127253475
2016-01-15,VXF6 Comdty,VXG6 Comdty,26.475,24.35,-0.08026440037771482
2016-01-19,VXF6 Comdty,VXG6 Comdty,25.85,24.025,-0.07059961315280475
2016-01-20,VXF6 Comdty,VXG6 Comdty,27.4,24.725,-0.09762773722627727
2016-01-21,VXG6 Comdty,VXH6 Comdty,25.075,24.075,-0.03988035892323031
2016-01-22,VXG6 Comdty,VXH6 Comdty,22.725,22.175,-0.024202420242024233
2016-01-25,VXG6 Comdty,VXH6 Comdty,24.025,23.175,-0.035379812695109175
2016-01-26,VXG6 Comdty,VXH6 Comdty,22.925,22.225,-0.030534351145038136
2016-01-27,VXG6 Comdty,VXH6 Comdty,23.775,22.925,-0.03575184016824386
2016-01-28,VXG6 Comdty,VXH6 Comdty,23.275,22.475,-0.034371643394199666
2016-01-29,VXG6 Comdty,VXH6 Comdty,21.625,21.325,-0.01387283236994223
2016-02-01,VXG6 Comdty,VXH6 Comdty,21.525,21.225,-0.013937282229965025
2016-02-02,VXG6 Comdty,VXH6 Comdty,23.175,22.425,-0.032362459546925564
2016-02-03,VXG6 Comdty,VXH6 Comdty,22.775,22.175,-0.026344676180021863
